ID question,Thématique,Libellé (langage client),Type,Unité / sens,Seuil T,OUI =,Modalités → ★,À valider,Notes
N1_IMC,Poids et silhouette,Votre taille et votre poids (IMC),haut,IMC kg/m² (haut défavorable),30,,,Oui,"T=30 (repère OMS obésité). 5★≤34,5. Versant maigreur à traiter à part."
N1_TA_SYS,Tension artérielle,Tension habituelle — systolique,haut,mmHg (haut défavorable),140,,,Oui,T=140. Cas test : 138<140 → 5★.
N1_TA_DIA,Tension artérielle,Tension habituelle — diastolique,haut,mmHg (haut défavorable),90,,,Oui,T=90. Cas test : 88<90 → 5★.
N1_TABAC,Tabac,Combien de cigarettes par jour ?,freqnum,cig/jour,,,grille numérique (voir Notes),Oui,Grille trame §2.3 : 0=5★ · 1-9=4★ · 10-19=3★ · 20-29=2★ · ≥30=1★.
N1_ALCOOL,Alcool et autres consommations,Combien de verres d'alcool par semaine ?,freqnum,verres/semaine,,,grille numérique (voir Notes),Oui,Grille trame §2.4 : ≤16=5★ · 17-24=4★ · 25-34=3★ · 35-49=2★ · ≥50=1★ (seuil adapté selon sexe).
N1_SUBST,Alcool et autres consommations,"Autres substances (cannabis, autres) ?",freq,Non/Occasionnel/Régulier,,,Non/Occasionnel/Régulier,Oui,Non=5★ · Occasionnel=3★ · Régulier=1★.
N1_SPORT,Activité physique et loisirs,Sport à risque / compétition ?,freq,Aucun/Loisir/Intensif/Extrême,,,Aucun/Loisir/Intensif/Extrême,Oui,Aucun risque=5★ · loisir régulier=4★ · intensif/compétition=3★ · extrême régulier=2★.
N1_VOYAGE,Voyages et environnement,Séjour >3 mois hors zone de référence ?,freq,Non/Touristique/Prolongé,,,Non/Touristique/Prolongé,Oui,Non=5★ · touristique=4★ · prolongé/zone à risque=3★.
N1_ARRET_DUREE,Vie professionnelle et arrêts,Arrêt de travail le plus long (5 ans) ?,haut,jours (haut défavorable),21,,,Oui,T=21 jours. Cas test : 10≤24 → 5★.
N1_ARRET_COURS,Vie professionnelle et arrêts,Êtes-vous en arrêt de travail actuellement ?,bin,Oui/Non,,3,,Oui,Non=5★ · Oui=3★.
N1_INVAL,Vie professionnelle et arrêts,Pension / rente / allocation handicap ?,bin,Oui/Non,,1,,Oui,"Non=5★ · Oui=1★ (proposition, pas règle actuarielle)."
N1_REFUS,Vie professionnelle et arrêts,Refus / ajournement / majoration déjà subi ?,bin,Oui/Non,,2,,Oui,Non=5★ · Oui=2★.
N1_ALD100,Suivi médical récent,Prise en charge à 100 % (ALD) ?,bin,Oui/Non,,3,,Oui,Non=5★ · Oui=3★.
N1_EXAM_PREV,Suivi médical récent,Examen / hospitalisation prévu (6 mois) ?,bin,Oui/Non,,4,,Oui,Non=5★ · Oui=4★.
N2_INFECT,Infections,"Infection sévère/longue (tuberculose, VIH, IST…) ?",bin,Oui/Non,,2,,Oui,NON=5★. Sévérité affinée niveau 3.
N2_ENDOC,"Diabète, cholestérol, thyroïde","Diabète, cholestérol élevé, thyroïde, goutte ?",bin,Oui/Non,,2,,Oui,NON=5★.
N2_SANG,Sang,"Anémie, coagulation, maladie du sang ?",bin,Oui/Non,,2,,Oui,NON=5★.
N2_PSY,Moral et santé mentale,"Anxiété, dépression, troubles de l'humeur ?",bin,Oui/Non,,2,,Oui,"NON=5★. SENSIBLE : ton neutre, pas de gamification."
N2_NEURO,Cerveau et système nerveux,"AVC, épilepsie, SEP, paralysie ?",bin,Oui/Non,,2,,Oui,NON=5★.
N2_ORL_OPH,"Oreilles, nez, gorge, yeux","Surdité, vertiges, vue (cataracte, glaucome) ?",bin,Oui/Non,,4,,Oui,NON=5★. Souvent bénin.
N2_CARDIO,Cœur et circulation,"Souffle, tension, infarctus, rythme irrégulier ?",bin,Oui/Non,,2,,Oui,NON=5★. Cas test : coché mais aucun seuil interne → 5★.
N2_RESP,Respiration,"Bronchite chronique, asthme, apnée du sommeil ?",bin,Oui/Non,,3,,Oui,NON=5★.
N2_DIGEST,Digestion,"Estomac, foie, hépatite, MICI ?",bin,Oui/Non,,3,,Oui,NON=5★.
N2_URO,Reins et voies urinaires,"Calculs, protéinurie, prostate ?",bin,Oui/Non,,3,,Oui,NON=5★.
N2_PEAU,Peau,"Eczéma, psoriasis, grain de beauté suspect ?",bin,Oui/Non,,4,,Oui,NON=5★. Généralement bénin.
N2_OSTEO,"Os, articulations et dos","Arthrose, hernie discale, dos chronique ?",bin,Oui/Non,,3,,Oui,NON=5★.
N2_CANCER,Cancer,"Une tumeur ou un cancer, quel qu'il soit ?",bin,Oui/Non,,1,,Oui,NON=5★. Voir droit à l'oubli AERAS.
